iter	Passed	Remaining
419	2498	3450
420	2504	3444
421	2509	3437
422	2515	3431
423	2520	3424
424	2526	3418
425	2533	3413
426	2539	3407
427	2549	3407
428	2557	3404
429	2563	3398
430	2570	3393
431	2575	3386
432	2581	3380
433	2587	3374
434	2593	3368
435	2598	3361
436	2604	3354
437	2609	3348
438	2615	3342
439	2620	3335
440	2626	3329
441	2631	3322
442	2637	3316
443	2643	3309
444	2648	3303
445	2654	3297
446	2660	3291
447	2666	3284
448	2671	3278
449	2677	3272
450	2682	3265
451	2688	3259
452	2694	3253
453	2699	3246
454	2705	3240
455	2712	3235
456	2717	3229
457	2723	3222
458	2729	3216
459	2736	3212
460	2743	3207
461	2750	3202
462	2757	3198
463	2763	3192
464	2769	3185
465	2775	3180
466	2782	3175
467	2788	3169
468	2794	3164
469	2800	3157
470	2805	3151
471	2811	3144
472	2816	3138
473	2827	3137
474	2834	3132
475	2839	3125
476	2845	3119
477	2850	3112
478	2856	3106
479	2861	3099
480	2867	3093
481	2875	3090
482	2882	3085
483	2889	3080
484	2895	3074
485	2900	3067
486	2906	3061
487	2912	3055
488	2917	3049
489	2923	3042
490	2929	3036
491	2934	3030
492	2941	3024
493	2946	3018
494	2952	3012
495	2959	3006
496	2966	3002
497	2971	2995
498	2977	2989
499	2982	2982
500	2988	2976
501	2995	2971
502	3001	2965
503	3008	2961
504	3014	2954
505	3020	2948
506	3025	2942
507	3031	2936
508	3037	2929
509	3042	2923
510	3048	2916
511	3053	2910
512	3060	2904
513	3065	2898
514	3070	2891
515	3077	2886
516	3084	2881
517	3090	2875
518	3095	2869
519	3101	2862
520	3106	2856
521	3112	2850
522	3117	2843
523	3124	2838
524	3130	2831
525	3135	2825
526	3141	2819
527	3147	2813
528	3152	2807
529	3158	2800
530	3164	2794
531	3170	2789
532	3177	2784
533	3183	2778
534	3189	2772
535	3196	2767
536	3202	2761
537	3208	2755
538	3217	2751
539	3222	2745
540	3228	2739
541	3235	2734
542	3241	2728
543	3247	2722
544	3252	2715
545	3258	2709
546	3263	2703
547	3269	2696
548	3277	2692
549	3288	2690
550	3293	2684
551	3299	2677
552	3304	2671
553	3310	2664
554	3315	2658
555	3321	2652
556	3327	2646
557	3333	2640
558	3338	2633
559	3343	2627
560	3349	2621
561	3355	2614
562	3360	2608
563	3366	2602
564	3371	2596
565	3377	2589
566	3386	2586
567	3392	2579
568	3397	2573
569	3403	2567
570	3409	2561
571	3415	2555
572	3422	2550
573	3429	2545
574	3435	2538
575	3440	2532
576	3446	2526
577	3452	2520
578	3457	2514
579	3463	2508
580	3469	2501
581	3477	2497
582	3486	2493
583	3491	2487
584	3497	2480
585	3503	2474
586	3508	2468
587	3514	2462
588	3522	2457
589	3528	2451
590	3537	2447
591	3547	2444
592	3552	2438
593	3558	2431
594	3565	2427
595	3576	2424
596	3582	2418
597	3587	2411
598	3593	2405
599	3600	2400
600	3605	2393
601	3611	2387
602	3617	2381
603	3623	2375
604	3628	2369
605	3635	2363
606	3641	2357
607	3647	2351
608	3653	2345
609	3658	2339
610	3664	2332
611	3669	2326
612	3675	2320
613	3681	2314
614	3686	2308
615	3692	2301
616	3698	2295
617	3703	2289
618	3708	2282
619	3714	2276
620	3720	2270
621	3725	2264
622	3731	2258
623	3737	2252
624	3744	2246
625	3749	2240
626	3755	2234
627	3761	2227
628	3766	2221
629	3772	2215
630	3778	2209
631	3784	2203
632	3790	2197
633	3795	2191
634	3802	2185
635	3810	2180
636	3815	2174
637	3821	2168
638	3828	2162
639	3833	2156
640	3840	2151
641	3849	2146
642	3854	2140
643	3860	2133
644	3866	2128
645	3872	2121
646	3878	2116
647	3884	2109
648	3889	2103
649	3895	2097
650	3900	2091
651	3906	2085
652	3912	2078
653	3917	2072
654	3923	2066
655	3929	2060
656	3934	2054
657	3940	2048
658	3946	2041
659	3951	2035
660	3957	2029
661	3965	2024
662	3971	2018
663	3977	2012
664	3983	2006
665	3989	2000
666	3994	1994
667	4000	1988
668	4006	1982
669	4012	1976
670	4018	1970
671	4025	1964
672	4031	1958
673	4037	1953
674	4043	1946
675	4048	1940
676	4054	1934
677	4062	1929
678	4068	1923
679	4076	1918
680	4081	1912
681	4087	1906
682	4093	1899
683	4099	1893
684	4104	1887
685	4110	1881
686	4115	1875
687	4121	1868
688	4125	1862
689	4131	1856
690	4136	1849
691	4141	1843
692	4147	1837
693	4152	1831
694	4157	1824
695	4163	1818
696	4169	1812
697	4174	1806
698	4180	1800
699	4186	1794
700	4191	1787
701	4197	1781
702	4203	1775
703	4208	1769
704	4214	1763
705	4219	1756
706	4224	1750
707	4230	1744
708	4236	1738
709	4242	1732
710	4248	1726
711	4254	1720
712	4260	1714
713	4265	1708
714	4272	1703
715	4278	1697
716	4284	1691
717	4290	1685
718	4296	1679
719	4301	1672
720	4307	1666
721	4313	1660
722	4318	1654
723	4324	1648
724	4330	1642
725	4337	1636
726	4342	1630
727	4348	1624
728	4354	1618
729	4359	1612
730	4364	1606
731	4370	1600
732	4376	1594
733	4382	1588
734	4387	1581
735	4393	1575
736	4398	1569
737	4405	1563
738	4412	1558
739	4418	1552
740	4424	1546
741	4430	1540
742	4435	1534
743	4440	1528
744	4446	1522
745	4455	1516
746	4461	1510
747	4466	1504
748	4472	1498
749	4478	1492
750	4485	1487
751	4491	1481
752	4497	1475
753	4503	1469
754	4510	1463
755	4517	1457
756	4522	1451
757	4528	1445
758	4534	1439
759	4539	1433
760	4545	1427
761	4550	1421
762	4556	1415
763	4560	1408
764	4566	1402
765	4571	1396
766	4578	1390
767	4584	1384
768	4590	1378
769	4596	1372
770	4601	1366
771	4607	1360
772	4612	1354
773	4618	1348
774	4624	1342
775	4629	1336
776	4635	1330
777	4641	1324
778	4646	1318
779	4652	1312
780	4657	1306
781	4664	1300
782	4672	1294
783	4677	1288
784	4682	1282
785	4689	1276
786	4695	1270
787	4702	1265
788	4708	1259
789	4715	1253
790	4721	1247
791	4727	1241
792	4733	1235
793	4738	1229
794	4744	1223
795	4749	1217
796	4755	1211
797	4761	1205
798	4767	1199
799	4772	1193
800	4780	1187
801	4786	1181
802	4792	1175
803	4799	1169
804	4806	1164
805	4811	1158
806	4817	1152
807	4823	1146
808	4829	1140
809	4834	1134
810	4840	1128
811	4846	1122
812	4850	1115
813	4857	1110
814	4863	1104
815	4869	1097
816	4874	1091
817	4882	1086
818	4887	1080
819	4893	1074
820	4899	1068
821	4905	1062
822	4911	1056
823	4916	1050
824	4923	1044
825	4929	1038
826	4935	1032
827	4940	1026
828	4946	1020
829	4952	1014
830	4957	1008
831	4963	1002
832	4968	996
833	4973	989
834	4981	984
835	4986	978
836	4992	972
837	4997	966
838	5007	960
839	5012	954
840	5018	948
841	5024	942
842	5030	936
843	5035	930
844	5041	924
845	5047	918
846	5052	912
847	5058	906
848	5063	900
849	5069	894
850	5075	888
851	5081	882
852	5087	876
853	5094	870
854	5100	864
855	5107	859
856	5112	853
857	5119	847
858	5127	841
859	5133	835
860	5139	829
861	5146	823
862	5156	818
863	5162	812
864	5166	806
865	5172	800
866	5176	794
867	5182	788
868	5187	782
869	5193	775
870	5198	769
871	5204	764
