iter	RMSE
242	3165182.355
243	3164946.484
244	3164826.752
245	3163900.142
246	3163780.696
247	3162728.76
248	3162698.806
249	3162681.387
250	3162495.636
251	3162378.416
252	3162352.041
253	3162324.689
254	3162213.976
255	3162076.393
256	3161915.356
257	3161810.328
258	3161216.079
259	3161124.708
260	3161099.137
261	3161075.846
262	3160943.1
263	3160854.98
264	3160832.013
265	3160464.354
266	3160228.619
267	3160196.361
268	3159975.596
269	3159889.241
270	3159680.676
271	3159599.527
272	3159527.013
273	3159406.261
274	3159334.231
275	3158391.339
276	3158345.206
277	3158278.368
278	3158214.301
279	3158096.923
280	3157777.37
281	3157592.797
282	3157478.657
283	3157125.122
284	3157094.136
285	3157035.916
286	3156979.815
287	3156925.996
288	3156822.269
289	3156696.032
290	3156644.002
291	3156594.092
292	3156501.609
293	3156453.002
294	3154946.614
295	3154722.544
296	3154636.208
297	3154555.256
298	3154478.056
299	3152990.973
300	3152939.372
301	3151962.551
302	3151895.578
303	3151757.708
304	3151720.626
305	3151656.589
306	3151570.006
307	3151513.154
308	3151475.905
309	3151295.375
310	3151252.405
311	3151215.807
312	3149797.799
313	3149565.843
314	3149532.495
315	3149500.618
316	3149469.721
317	3149408.744
318	3149241.174
319	3149198.504
320	3149144.879
321	3148983.835
322	3148951.462
323	3148886.55
324	3148705.708
325	3148549.711
326	3148523.057
327	3148477.269
328	3148450.451
329	3148284.138
330	3148252.412
331	3148083.308
332	3147931.042
333	3147778.278
334	3147739.84
335	3147708.436
336	3147564.984
337	3147538.485
338	3147517.547
339	3147374.905
340	3147343.333
341	3147312.906
342	3147283.624
343	3147263.012
344	3147234.547
345	3147087.966
346	3147061.299
347	3147035.613
348	3147010.91
349	3146987.023
350	3146830.941
351	3146808.362
352	3146666.343
353	3146565.878
354	3146525.298
355	3146387.684
356	3146255.791
357	3146125.365
358	3146102.618
359	3145979.714
360	3145955.656
361	3145933.072
362	3145892.32
363	3145868.589
364	3145761.879
365	3145638.962
366	3145609.01
367	3145586.422
368	3145564.653
369	3145445.002
370	3145426.342
371	3145408.828
372	3145390.167
373	3145371.998
374	3145257.578
375	3145240.554
376	3145217.145
377	3145199.466
378	3145183.26
379	3145160.015
380	3145143.808
381	3145041.985
382	3145020.212
383	3145004.333
384	3144988.453
385	3144966.843
386	3144856.501
387	3144835.218
388	3144705.88
389	3144686.069
390	3144670.843
391	3144655.289
392	3144635.478
393	3144527.58
394	3144046.498
395	3144027.83
396	3143139.479
397	3143124.737
398	3143107.21
399	3143092.14
400	3142987.629
401	3142960.108
402	3142944.71
403	3142931.113
404	3142911.619
405	3142889.667
406	3142868.535
407	3142216.305
408	3142198.281
409	3142180.913
410	3142081.779
411	3142060.15
412	3142042.616
413	3142021.478
414	3141892.515
415	3141763.547
416	3141741.588
417	3141628.838
418	3141616.383
419	3141602.945
420	3141582.459
421	3141570.004
422	3141557.712
423	3141540.34
424	3141522.968
425	3140473.084
426	3140452.755
427	3140437.016
428	3139177.17
429	3139165.361
430	3139151.092
431	3139131.411
432	3139112.221
433	3139097.952
434	3139084.502
435	3138519.416
436	3138498.91
437	3138485.786
438	3136845.703
439	3136656.78
440	3135072.563
441	3133035.005
442	3132985.705
443	3130296.845
444	3130283.687
445	3130271.351
446	3128996.552
447	3126605.129
448	3126443.582
449	3126428.432
450	3126417.234
451	3125503.451
452	3125493.897
453	3124012.959
454	3123147.27
455	3122333.449
456	3121752.631
457	3121745.539
458	3120346.478
459	3120152.926
460	3120131.309
461	3118703.13
462	3118580.302
463	3116459.106
464	3116381.623
465	3116364.276
466	3116358.163
467	3116344.781
468	3115545.212
469	3115391.025
470	3113477.512
471	3109557.71
472	3109344.278
473	3108653.878
474	3105170.723
475	3105072.066
476	3105052.335
477	3104966.442
478	3104883.366
479	3104846.387
480	3104732.297
481	3104327.312
482	3102581.554
483	3102355.528
484	3102333.621
485	3102329.97
486	3101777.774
487	3101077.886
488	3097026.189
489	3096909.151
490	3096898.844
491	3096198.684
492	3096105.395
493	3096057.004
494	3093293.934
495	3092555
496	3092452.944
497	3091163.214
498	3091148.89
499	3090932.355
500	3090849.735
501	3090847.069
502	3090766.113
503	3088283.903
504	3088281.569
505	3088224.052
506	3088085.673
507	3088021.817
508	3085150.087
509	3084732.517
510	3083364.084
511	3082095.943
512	3082057.02
513	3082034.802
514	3082004.065
515	3081994.041
516	3079604.07
517	3076686.664
518	3076682.313
519	3076660.559
520	3075836.614
521	3075625.697
522	3075621.679
523	3074980.803
524	3074978.292
525	3074957.697
526	3074955.353
527	3069761.934
528	3069699.709
529	3068803.096
530	3068751.925
531	3065674.055
532	3064873.867
533	3064806.671
534	3063504.126
535	3063443.455
536	3063423.455
537	3063374.883
538	3063130.332
539	3062067.694
540	3062046.172
541	3061951.674
542	3061921.576
543	3061314.664
544	3061297.005
545	3060522.252
546	3060470.943
547	3060445.54
548	3057079.413
549	3057055.666
550	3057037.309
551	3056505.903
552	3056088.799
553	3055714.435
554	3054694.051
555	3054424.026
556	3054365.534
557	3054337.047
558	3053771.958
559	3053749.871
560	3053082.819
561	3052618.865
562	3052597.782
563	3052563.543
564	3052517.835
565	3052497.426
566	3051649.073
567	3051622.248
568	3050863.433
569	3050852.632
570	3050814.661
571	3050795.591
572	3050446.57
573	3050421.758
574	3050407.918
575	3049993.694
576	3049972.255
577	3049958.919
578	3049668.554
579	3049648.126
580	3049629.049
581	3049608.958
582	3049278.543
583	3049267.737
584	3048873.284
585	3048351.603
586	3048334.713
587	3048316.303
588	3045679.647
589	3045383.294
590	3045366.557
591	3044890.437
592	3044879.277
593	3044863.551
594	3044847.318
595	3044610.918
596	3044592.655
597	3044575.575
598	3044569.825
599	3044549.701
600	3044431.999
601	3044078.02
602	3044062.629
603	3044049.774
604	3044041.148
605	3044014.932
606	3044004.783
607	3043992.944
608	3043987.024
609	3043970.955
610	3043337.625
611	3040453.833
612	3040438.423
613	3040424.03
614	3037386.105
615	3037188.961
616	3037182.858
617	3037164.719
618	3037157.938
619	3037147.259
620	3037132.51
621	3036019.564
622	3033175.834
623	3032638.379
624	3032626.495
625	3032617.158
626	3031379.08
627	3031367.531
628	3031358.699
629	3031345.96
630	3030866.958
631	3030857.105
632	3029614.23
633	3029586.699
634	3029583.3
635	3029375.111
636	3029363.214
637	3029351.827
638	3029261.748
639	3029248.831
640	3029243.392
641	3029231.835
642	3029220.277
643	3029215.178
644	3029204.641
645	3029179.826
646	3029174.896
647	3028758.618
648	3028324.261
649	3028313.04
650	3028302.329
651	3028292.468
652	3028288.387
653	3028177.194
654	3027742.073
655	3027731.7
656	3027443.455
657	3027437.162
658	3027389.204
659	3027381.041
660	3027371.857
661	3027341.414
662	3027338.183
663	3025685.158
664	3025675.458
665	3025315.881
666	3025010.725
667	3024483.226
668	3024063.407
669	3021517.029
670	3021507.828
671	3020863.993
672	3020242.353
673	3020233.318
674	3020048.523
675	3020045.624
676	3020037.1
677	3019804.555
678	3019799.099
679	3019795.518
680	3019790.233
681	3019529.875
682	3019524.248
683	3019516.575
684	3019511.289
685	3019503.957
686	3019498.16
687	3019492.192
688	3019489.805
689	3019484.519
690	3019481.961
691	3019475.141
692	3019468.491
693	3019463.205
694	3019460.647
695	3019454.168
696	3019449.734
697	3019445.13
698	3019440.526
699	3019438.139
700	3019424.668
701	3017586.627
702	3017374.71
703	3016757.129
704	3016684.083
705	3016681.864
706	3016678.792
707	3016319.849
708	3016045.706
709	3016035.975
710	3016032.049
711	3013559.697
712	3013556.963
713	3013552.521
714	3013550.984
715	3013547.396
716	3013327.335
717	3013106.574
718	3013101.96
719	3013096.493
720	3011317.85
721	3008552.767
722	3008551.569
723	3008545.75
724	3008538.734
725	3008537.707
726	3006949.172
727	3006944.891
728	3006943.521
729	3006937.871
730	3006933.419
731	3006929.139
732	3006920.92
733	3006916.468
734	3006324.997
735	3004969.861
736	3004957.696
737	3004837.586
738	3004834.159
739	3004785.668
740	3001744.093
741	3001742.378
742	3001735.688
743	3001680.286
744	3001678.4
745	3001677.371
746	3001672.739
747	3001666.393
748	3000531.541
749	3000529.139
750	2999360.384
751	2999356.092
752	2999114.904
753	2999109.926
754	2998946.834
755	2998942.198
756	2998199.759
757	2998196.153
758	2998179.667
759	2997984.41
760	2997980.804
761	2997978.228
762	2997972.904
763	2997971.187
764	2997967.237
765	2997963.802
766	2997961.398
767	2997957.276
768	2997955.215
769	2996006.566
770	2995513.835
771	2995510.741
772	2995328.373
773	2995325.279
774	2995319.951
775	2995317.201
776	2993718.899
777	2993714.943
778	2993711.847
779	2992957.101
780	2992954.005
781	2992800.555
782	2992628.861
783	2992545.763
784	2992544.387
785	2991821.183
786	2991778.504
787	2990652.812
788	2990650.057
789	2990645.753
790	2987920.988
791	2987488.793
792	2987475.696
793	2987434.506
794	2987425.889
795	2987422.27
796	2987418.995
797	2987121.172
798	2987118.242
799	2987022.236
800	2987011.204
801	2987007.929
802	2987004.999
803	2986833.834
804	2984753.729
805	2984750.797
806	2984484.104
807	2984478.929
808	2984477.721
809	2984474.961
810	2984472.373
811	2984437.871
812	2984436.663
813	2984384.39
814	2984383.183
815	2984382.32
816	2984378.87
817	2984376.11
818	2984375.074
819	2982245.606
820	2982242.498
821	2979149.738
822	2979146.281
823	2979142.825
824	2979139.541
825	2979136.603
826	2979125.888
827	2979124.852
828	2979121.914
829	2979118.63
830	2979116.038
831	2978327.513
832	2978238.139
833	2978236.237
834	2977933.346
835	2977925.393
836	2977923.491
837	2977143.644
838	2976990.763
839	2976934.382
840	2976785.987
841	2976783.393
842	2976779.242
843	2976775.436
844	2976773.88
845	2976771.458
846	2976768.864
847	2976766.443
848	2976763.675
849	2976667.162
850	2976116.043
851	2976113.275
852	2976110.853
853	2973652.404
854	2973626.086
855	2973623.143
856	2973621.065
857	2973618.814
858	2973592.324
859	2973583.666
860	2973581.589
861	2973501.075
862	2973202.031
863	2973200.299
864	2973199.606
865	2973197.701
866	2973197.009
867	2973194.758
868	2973005.306
869	2973003.055
870	2972970.151
871	2972968.419
872	2972965.995
873	2972963.916
874	2972963.224
875	2972962.011
876	2972960.106
877	2972958.375
878	2972956.816
879	2972955.257
880	2972954.218
881	2972953.352
882	2972952.14
883	2972049.207
884	2970830.255
885	2970828.521
886	2970825.922
887	2970824.535
888	2970822.629
889	2970390.893
890	2970381.88
891	2970380.32
892	2970378.933
893	2970377.373
894	2970376.853
895	2970374.947
896	2966219.529
897	2966218.487
898	2964881.66
899	2964808.378
900	2964805.773
901	2959864.4
902	2959862.661
903	2959861.269
904	2959859.704
905	2959647.654
906	2959508.308
907	2959471.775
908	2959471.253
909	2959470.905
910	2959436.807
911	2959435.589
912	2957854.974
913	2957826.775
914	2957825.208
915	2957823.468
916	2957821.553
917	2957636.688
918	2957534.502
919	2952024.995
920	2952020.286
921	2952012.612
922	2951783.429
923	2951781.336
924	2951780.289
925	2951778.719
926	2951777.324
927	2951774.882
928	2951513.932
929	2951513.06
930	2951486.545
931	2951311.401
932	2951308.261
933	2951305.818
934	2951304.597
935	2951102.924
936	2951095.771
937	2951087.745
938	2951086.35
939	2950876.461
940	2950595.888
941	2950429.591
942	2950398.704
943	2950281.608
944	2950277.944
945	2950276.897
946	2950248.276
947	2950208.312
948	2944945.78
949	2944798.395
950	2942936.314
951	2942870.708
952	2942869.308
953	2942749.988
954	2942285.261
955	2942133.893
956	2942029.944
957	2941843.736
958	2941760.779
959	2941395.144
960	2941330.379
961	2940911.12
962	2940909.369
963	2940904.817
964	2940560.787
965	2940559.561
966	2940291.662
967	2940290.262
968	2940116.552
969	2940061.215
970	2940038.099
971	2940036.173
972	2940034.246
973	2939888.017
974	2939853.691
975	2939833.201
976	2939790.643
977	2939753.69
978	2939751.938
979	2939750.012
980	2939743.882
981	2939636.17
982	2939634.244
983	2939632.667
984	2939275
985	2939247.149
986	2939245.572
987	2939192.321
988	2939189.693
989	2938952.24
990	2938949.524
991	2938818.045
992	2938658.352
993	2937303.986
994	2937165.685
995	2937164.195
996	2937028.603
997	2937027.551
998	2936429.718
999	2936367.035
